,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
12252,54482,TRMT13,CCDC76,HGNC:HGNC:25502|Ensembl:ENSG00000122435,1,1p21.2,tRNA methyltransferase 13 homolog,protein-coding
12253,54487,DGCR8,C22orf12|DGCRK6|Gy1|pasha,MIM:609030|HGNC:HGNC:2847|Ensembl:ENSG00000128191,22,22q11.21,DGCR8 microprocessor complex subunit,protein-coding
12255,54491,OTULINL,FAM105A|NET20,HGNC:HGNC:25629|Ensembl:ENSG00000145569,5,5p15.2,OTU deubiquitinase with linear linkage specificity like,protein-coding
12257,54494,C11orf71,URLC7,HGNC:HGNC:25937|Ensembl:ENSG00000180425,11,11q23.2,chromosome 11 open reading frame 71,protein-coding
12258,54495,TMX3,PDIA13|TXNDC10,MIM:616102|HGNC:HGNC:24718|Ensembl:ENSG00000166479,18,18q22.1,thioredoxin related transmembrane protein 3,protein-coding
12259,54496,PRMT7,SBIDDS,MIM:610087|HGNC:HGNC:25557|Ensembl:ENSG00000132600,16,16q22.1,protein arginine methyltransferase 7,protein-coding
12260,54497,HEATR5B,-,HGNC:HGNC:29273|Ensembl:ENSG00000008869,2,2p22.2,HEAT repeat containing 5B,protein-coding
12261,54498,SMOX,C20orf16|PAO|PAO-1|PAO1|PAOH|PAOH1|SMO,MIM:615854|HGNC:HGNC:15862|Ensembl:ENSG00000088826,20,20p13,spermine oxidase,protein-coding
12262,54499,TMCO1,HP10122|PCIA3|PNAS-136|TMCC4,MIM:614123|HGNC:HGNC:18188|Ensembl:ENSG00000143183,1,1q24.1,transmembrane and coiled-coil domains 1,protein-coding
12264,54502,RBM47,NET18,HGNC:HGNC:30358|Ensembl:ENSG00000163694,4,4p14,RNA binding motif protein 47,protein-coding
12265,54503,ZDHHC13,HIP14L|HIP3RP,MIM:612815|HGNC:HGNC:18413|Ensembl:ENSG00000177054,11,11p15.1,zinc finger DHHC-type containing 13,protein-coding
12266,54504,CPVL,HVLP,MIM:609780|HGNC:HGNC:14399|Ensembl:ENSG00000106066,7,7p14.3,carboxypeptidase vitellogenic like,protein-coding
12267,54505,DHX29,DDX29,MIM:612720|HGNC:HGNC:15815|Ensembl:ENSG00000067248,5,5q11.2,DExH-box helicase 29,protein-coding
12268,54507,ADAMTSL4,ADAMTSL-4|ECTOL2|TSRC1,MIM:610113|HGNC:HGNC:19706|Ensembl:ENSG00000143382,1,1q21.2,ADAMTS like 4,protein-coding
12270,54509,RHOF,ARHF|RIF,HGNC:HGNC:15703|Ensembl:ENSG00000139725,12,12q24.31,"ras homolog family member F, filopodia associated",protein-coding
12271,54510,PCDH18,PCDH68L,MIM:608287|HGNC:HGNC:14268|Ensembl:ENSG00000189184,4,4q28.3,protocadherin 18,protein-coding
12272,54511,HMGCLL1,bA418P12.1|er-cHL,HGNC:HGNC:21359|Ensembl:ENSG00000146151,6,6p12.1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,protein-coding
12273,54512,EXOSC4,RRP41|RRP41A|Rrp41p|SKI6|Ski6p|hRrp41p|p12A,MIM:606491|HGNC:HGNC:18189|Ensembl:ENSG00000178896,8,8q24.3,exosome component 4,protein-coding
12274,54514,DDX4,VASA,MIM:605281|HGNC:HGNC:18700|Ensembl:ENSG00000152670,5,5q11.2,DEAD-box helicase 4,protein-coding
12275,54516,MTRF1L,HMRF1L|MRF1L|mtRF1a,MIM:613542|HGNC:HGNC:21051|Ensembl:ENSG00000112031,6,6q25.2,mitochondrial translational release factor 1 like,protein-coding
12276,54517,PUS7,IDDABS,MIM:616261|HGNC:HGNC:26033|Ensembl:ENSG00000091127,7,7q22.3,pseudouridine synthase 7,protein-coding
12277,54518,APBB1IP,INAG1|PREL1|RARP1|RIAM,MIM:609036|HGNC:HGNC:17379|Ensembl:ENSG00000077420,10,10p12.1,amyloid beta precursor protein binding family B member 1 interacting protein,protein-coding
12278,54520,CCDC93,-,HGNC:HGNC:25611|Ensembl:ENSG00000125633,2,2q14.1,coiled-coil domain containing 93,protein-coding
12279,54521,WDR44,RAB11BP|RPH11|SYM-4,HGNC:HGNC:30512|Ensembl:ENSG00000131725,X,Xq24,WD repeat domain 44,protein-coding
12280,54522,ANKRD16,-,MIM:618017|HGNC:HGNC:23471|Ensembl:ENSG00000134461,10,10p15.1,ankyrin repeat domain 16,protein-coding
12281,54529,ASNSD1,NBLA00058|NS3TP1,HGNC:HGNC:24910|Ensembl:ENSG00000138381,2,2q32.2,asparagine synthetase domain containing 1,protein-coding
12282,54531,MIER2,KIAA1193|Mi-er2,HGNC:HGNC:29210|Ensembl:ENSG00000105556,19,19p13.3,MIER family member 2,protein-coding
12283,54532,USP53,-,MIM:617431|HGNC:HGNC:29255|Ensembl:ENSG00000145390,4,4q26,ubiquitin specific peptidase 53,protein-coding
12284,54534,MRPL50,MRP-L50,MIM:611854|HGNC:HGNC:16654|Ensembl:ENSG00000136897,9,9q31.1,mitochondrial ribosomal protein L50,protein-coding
12285,54535,CCHCR1,C6orf18|HCR|SBP|pg8,MIM:605310|HGNC:HGNC:13930|Ensembl:ENSG00000204536,6,6p21.33,coiled-coil alpha-helical rod protein 1,protein-coding
12286,54536,EXOC6,EXOC6A|SEC15|SEC15L|SEC15L1|SEC15L3|Sec15p,MIM:609672|HGNC:HGNC:23196|Ensembl:ENSG00000138190,10,10q23.33,exocyst complex component 6,protein-coding
12287,54537,SHLD2,FAM35A|FAM35A1|RINN2|bA163M19.1,MIM:618029|HGNC:HGNC:28773|Ensembl:ENSG00000122376,10,10q23.2,shieldin complex subunit 2,protein-coding
12288,54538,ROBO4,AOVD3|ECSM4|MRB,MIM:607528|HGNC:HGNC:17985|Ensembl:ENSG00000154133,11,11q24.2,roundabout guidance receptor 4,protein-coding
12289,54539,NDUFB11,CI-ESSS|ESSS|MC1DN30|NP17.3|Np15|P17.3,MIM:300403|HGNC:HGNC:20372|Ensembl:ENSG00000147123,X,Xp11.3,NADH:ubiquinone oxidoreductase subunit B11,protein-coding
12290,54540,FAM193B,IRIZIO,MIM:615813|HGNC:HGNC:25524|Ensembl:ENSG00000146067,5,5q35.3,family with sequence similarity 193 member B,protein-coding
12291,54541,DDIT4,Dig2|REDD-1|REDD1,MIM:607729|HGNC:HGNC:24944|Ensembl:ENSG00000168209,10,10q22.1,DNA damage inducible transcript 4,protein-coding
12292,54542,RC3H2,MNAB|RNF164,MIM:615231|HGNC:HGNC:21461|Ensembl:ENSG00000056586,9,9q33.2,ring finger and CCCH-type domains 2,protein-coding
12293,54543,TOMM7,TOM7,MIM:607980|HGNC:HGNC:21648|Ensembl:ENSG00000196683,7,7p15.3,translocase of outer mitochondrial membrane 7,protein-coding
12294,54544,CRCT1,C1orf42|NICE-1|NICE1,MIM:617426|HGNC:HGNC:29875|Ensembl:ENSG00000169509,1,1q21.3,cysteine rich C-terminal 1,protein-coding
12295,54545,MTMR12,3-PAP|PIP3AP,MIM:606501|HGNC:HGNC:18191|Ensembl:ENSG00000150712,5,5p13.3,myotubularin related protein 12,protein-coding
12296,54546,RNF186,-,MIM:617163|HGNC:HGNC:25978|Ensembl:ENSG00000178828,1,1p36.13,ring finger protein 186,protein-coding
12297,54549,SDK2,-,MIM:607217|HGNC:HGNC:19308|Ensembl:ENSG00000069188,17,17q25.1,sidekick cell adhesion molecule 2,protein-coding
12298,54550,NECAB2,EFCBP2|stip-2,MIM:618130|HGNC:HGNC:23746|Ensembl:ENSG00000103154,16,16q23.3,N-terminal EF-hand calcium binding protein 2,protein-coding
12299,54551,MAGEL2,NDNL1|PWLS|SHFYNG|nM15,MIM:605283|HGNC:HGNC:6814|Ensembl:ENSG00000254585,15,15q11.2,MAGE family member L2,protein-coding
12300,54552,GNL3L,GNL3B,MIM:300873|HGNC:HGNC:25553|Ensembl:ENSG00000130119,X,Xp11.22,G protein nucleolar 3 like,protein-coding
12301,54553,MIR4453HG,DKFZP434I0714|LINC02486,HGNC:HGNC:25288|Ensembl:ENSG00000268471,4,4q31.3,MIR4453 host gene,ncRNA
12302,54554,WDR5B,-,HGNC:HGNC:17826|Ensembl:ENSG00000196981,3,3q21.1,WD repeat domain 5B,protein-coding
12303,54555,DDX49,Dbp8|R27090_2,HGNC:HGNC:18684|Ensembl:ENSG00000105671,19,19p13.11,DEAD-box helicase 49,protein-coding
12304,54556,ING3,Eaf4|ING2|MEAF4|p47ING3,MIM:607493|HGNC:HGNC:14587|Ensembl:ENSG00000071243,7,7q31.31,inhibitor of growth family member 3,protein-coding
12305,54557,SGTB,SGT2,HGNC:HGNC:23567|Ensembl:ENSG00000197860,5,5q12.3,small glutamine rich tetratricopeptide repeat containing beta,protein-coding
12306,54558,SPATA6,HASH|SRF-1|SRF1,MIM:613947|HGNC:HGNC:18309|Ensembl:ENSG00000132122,1,1p33,spermatogenesis associated 6,protein-coding
12307,54566,EPB41L4B,CG1|EHM2|LULU2,MIM:610340|HGNC:HGNC:19818|Ensembl:ENSG00000095203,9,9q31.3,erythrocyte membrane protein band 4.1 like 4B,protein-coding
12308,54567,DLL4,AOS6|delta4|hdelta2,MIM:605185|HGNC:HGNC:2910|Ensembl:ENSG00000128917,15,15q15.1,delta like canonical Notch ligand 4,protein-coding
12316,54575,UGT1A10,GNT1|UDPGT|UGT-1A|UGT-1J|UGT1|UGT1-01|UGT1-10|UGT1.1|UGT1.10|UGT1A|UGT1A1|UGT1J|hUG-BR1,MIM:606435|HGNC:HGNC:12531|Ensembl:ENSG00000242515,2,2q37.1,UDP glucuronosyltransferase family 1 member A10,protein-coding
12317,54576,UGT1A8,GNT1|UDPGT|UDPGT 1-8|UGT-1A|UGT-1H|UGT1|UGT1-01|UGT1-08|UGT1.1|UGT1.8|UGT1A|UGT1A1|UGT1A8S|UGT1H|hUG-BR1,MIM:606433|HGNC:HGNC:12540|Ensembl:ENSG00000242366,2,2q37.1,UDP glucuronosyltransferase family 1 member A8,protein-coding
12318,54577,UGT1A7,GNT1|UDPGT|UDPGT 1-7|UGT-1A|UGT-1G|UGT1|UGT1-01|UGT1-07|UGT1.1|UGT1.7|UGT1A|UGT1A1|UGT1G|hUG-BR1,MIM:606432|HGNC:HGNC:12539|Ensembl:ENSG00000244122,2,2q37.1,UDP glucuronosyltransferase family 1 member A7,protein-coding
12319,54578,UGT1A6,GNT1|HLUGP|HLUGP1|UDPGT|UDPGT 1-6|UGT-1A|UGT-1C|UGT-1E|UGT1|UGT1-01|UGT1-03|UGT1-05|UGT1.1|UGT1.3|UGT1.5|UGT1A|UGT1A1|UGT1A3|UGT1A5|UGT1A6S|UGT1C|UGT1E|UGT1F|hUG-BR1,MIM:606431|HGNC:HGNC:12538|Ensembl:ENSG00000167165,2,2q37.1,UDP glucuronosyltransferase family 1 member A6,protein-coding
12322,54581,SCAND2P,SCAND2,MIM:610417|HGNC:HGNC:10567,15,15q25.2,SCAN domain containing 2 pseudogene,pseudo
12323,54583,EGLN1,C1orf12|ECYT3|HALAH|HIF-PH2|HIFPH2|HPH-2|HPH2|PHD2|SM20|ZMYND6,MIM:606425|HGNC:HGNC:1232|Ensembl:ENSG00000135766,1,1q42.2,egl-9 family hypoxia inducible factor 1,protein-coding
12324,54584,GNB1L,DGCRK3|FKSG1|GY2|WDR14|WDVCF,MIM:610778|HGNC:HGNC:4397|Ensembl:ENSG00000185838,22,22q11.21,G protein subunit beta 1 like,protein-coding
12325,54585,LZTFL1,BBS17,MIM:606568|HGNC:HGNC:6741|Ensembl:ENSG00000163818,3,3p21.31,leucine zipper transcription factor like 1,protein-coding
12327,54587,MXRA8,ASP3,MIM:617293|HGNC:HGNC:7542|Ensembl:ENSG00000162576,1,1p36.33,matrix remodeling associated 8,protein-coding
12328,54596,L1TD1,ECAT11,HGNC:HGNC:25595|Ensembl:ENSG00000240563,1,1p31.3,LINE1 type transposase domain containing 1,protein-coding
12329,54600,UGT1A9,HLUGP4|LUGP4|UDPGT|UDPGT 1-9|UGT-1I|UGT1-09|UGT1-9|UGT1.9|UGT1A9S|UGT1AI|UGT1I,MIM:606434|HGNC:HGNC:12541|Ensembl:ENSG00000241119,2,2q37.1,UDP glucuronosyltransferase family 1 member A9,protein-coding
12330,54602,NDFIP2,N4WBP5A,MIM:610041|HGNC:HGNC:18537|Ensembl:ENSG00000102471,13,13q31.1,Nedd4 family interacting protein 2,protein-coding
12331,54606,DDX56,DDX21|DDX26|NOH61,MIM:608023|HGNC:HGNC:18193|Ensembl:ENSG00000136271,7,7p13,DEAD-box helicase 56,protein-coding
12332,54617,INO80,INO80A|INOC1,MIM:610169|HGNC:HGNC:26956|Ensembl:ENSG00000128908,15,15q15.1,INO80 complex ATPase subunit,protein-coding
12333,54619,CCNJ,bA690P14.1,HGNC:HGNC:23434|Ensembl:ENSG00000107443,10,10q24.1,cyclin J,protein-coding
12334,54620,FBXL19,CXXC11|Fbl19|JHDM1C,MIM:609085|HGNC:HGNC:25300|Ensembl:ENSG00000099364,16,16p11.2,F-box and leucine rich repeat protein 19,protein-coding
12336,54622,ARL15,ARFRP2,HGNC:HGNC:25945|Ensembl:ENSG00000185305,5,5q11.2,ADP ribosylation factor like GTPase 15,protein-coding
12337,54623,PAF1,F23149_1|PD2,MIM:610506|HGNC:HGNC:25459|Ensembl:ENSG00000006712,19,19q13.2,"PAF1 homolog, Paf1/RNA polymerase II complex component",protein-coding
12338,54625,PARP14,ARTD8|BAL2|PARP-14|pART8,MIM:610028|HGNC:HGNC:29232|Ensembl:ENSG00000173193,3,3q21.1,poly(ADP-ribose) polymerase family member 14,protein-coding
12339,54626,HES2,bHLHb40,MIM:609970|HGNC:HGNC:16005|Ensembl:ENSG00000069812,1,1p36.31,hes family bHLH transcription factor 2,protein-coding
12340,54627,MAP10,KIAA1383|MTR120,HGNC:HGNC:29265|Ensembl:ENSG00000212916,1,1q42.2,microtubule associated protein 10,protein-coding
12341,54629,MINDY2,FAM63B,MIM:618408|HGNC:HGNC:26954|Ensembl:ENSG00000128923,15,15q21.3-q22.1,MINDY lysine 48 deubiquitinase 2,protein-coding
12342,54657,UGT1A4,GNT1|HUG-BR2|UDPGT|UDPGT 1-4|UGT-1A|UGT-1D|UGT1|UGT1-01|UGT1-04|UGT1.1|UGT1.4|UGT1A|UGT1A1|UGT1A4S|UGT1D|hUG-BR1,MIM:606429|HGNC:HGNC:12536|Ensembl:ENSG00000244474,2,2q37.1,UDP glucuronosyltransferase family 1 member A4,protein-coding
12343,54658,UGT1A1,BILIQTL1|GNT1|HUG-BR1|UDPGT|UDPGT 1-1|UGT1|UGT1A,MIM:191740|HGNC:HGNC:12530|Ensembl:ENSG00000241635,2,2q37.1,UDP glucuronosyltransferase family 1 member A1,protein-coding
12344,54659,UGT1A3,UDPGT|UDPGT 1-3|UGT-1C|UGT1-03|UGT1.3|UGT1A3S|UGT1C,MIM:606428|HGNC:HGNC:12535|Ensembl:ENSG00000243135,2,2q37.1,UDP glucuronosyltransferase family 1 member A3,protein-coding
12347,54662,TBC1D13,-,MIM:616218|HGNC:HGNC:25571|Ensembl:ENSG00000107021,9,9q34.11,TBC1 domain family member 13,protein-coding
12348,54663,WDR74,Nsa1,MIM:617947|HGNC:HGNC:25529|Ensembl:ENSG00000133316,11,11q12.3,WD repeat domain 74,protein-coding
12349,54664,TMEM106B,HLD16,MIM:613413|HGNC:HGNC:22407|Ensembl:ENSG00000106460,7,7p21.3,transmembrane protein 106B,protein-coding
12350,54665,RSBN1,KDM9|ROSBIN,MIM:615858|HGNC:HGNC:25642|Ensembl:ENSG00000081019,1,1p13.2,round spermatid basic protein 1,protein-coding
12351,54674,LRRN3,FIGLER5|NLRR-3|NLRR3,HGNC:HGNC:17200|Ensembl:ENSG00000173114,7,7q31.1,leucine rich repeat neuronal 3,protein-coding
12352,54675,CRLS1,C20orf155|CLS|CLS1|GCD10|dJ967N21.6,MIM:608188|HGNC:HGNC:16148|Ensembl:ENSG00000088766,20,20p12.3,cardiolipin synthase 1,protein-coding
12353,54676,GTPBP2,JABELS,MIM:607434|HGNC:HGNC:4670|Ensembl:ENSG00000172432,6,6p21.1,GTP binding protein 2,protein-coding
12354,54677,CROT,COT,MIM:606090|HGNC:HGNC:2366|Ensembl:ENSG00000005469,7,7q21.12,carnitine O-octanoyltransferase,protein-coding
12355,54680,ZNHIT6,BCD1|C1orf181|NY-BR-75,HGNC:HGNC:26089|Ensembl:ENSG00000117174,1,1p22.3,zinc finger HIT-type containing 6,protein-coding
12356,54681,P4HTM,EGLN4|HIDEA|HIFPH4|P4H-TM|PH-4|PH4|PHD4,MIM:614584|HGNC:HGNC:28858|Ensembl:ENSG00000178467,3,3p21.31|3p21.3,"prolyl 4-hydroxylase, transmembrane",protein-coding
12357,54682,MANSC1,9130403P13Rik|LOH12CR3,HGNC:HGNC:25505|Ensembl:ENSG00000111261,12,12p13.2,MANSC domain containing 1,protein-coding
12358,54700,RRN3,A-270G1.2|TIFIA,MIM:605121|HGNC:HGNC:30346|Ensembl:ENSG00000085721,16,16p13.11,"RRN3 homolog, RNA polymerase I transcription factor",protein-coding
12359,54704,PDP1,PDH|PDP|PDPC|PPM2A|PPM2C,MIM:605993|HGNC:HGNC:9279|Ensembl:ENSG00000164951,8,8q22.1,pyruvate dehyrogenase phosphatase catalytic subunit 1,protein-coding
12360,54707,GPN2,ATPBD1B,HGNC:HGNC:25513|Ensembl:ENSG00000142751,1,1p36.11,GPN-loop GTPase 2,protein-coding
12361,54708,MARCHF5,MARCH-V|MARCH5|MITOL|RNF153,MIM:610637|HGNC:HGNC:26025|Ensembl:ENSG00000198060,10,10q23.32-q23.33,membrane associated ring-CH-type finger 5,protein-coding
12363,54715,RBFOX1,2BP1|A2BP1|FOX-1|FOX1|HRNBP1,MIM:605104|HGNC:HGNC:18222|Ensembl:ENSG00000078328,16,16p13.3,RNA binding fox-1 homolog 1,protein-coding
12364,54716,SLC6A20,SIT1|XT3|Xtrp3,MIM:605616|HGNC:HGNC:30927|Ensembl:ENSG00000163817,3,3p21.31,solute carrier family 6 member 20,protein-coding
12365,54718,BTN2A3P,BTN2.3|BTN2A3,MIM:613592|HGNC:HGNC:13229|Ensembl:ENSG00000124549,6,6p22.2,"butyrophilin subfamily 2 member A3, pseudogene",pseudo
12367,54726,OTUD4,DUBA6|HIN1|HSHIN1,MIM:611744|HGNC:HGNC:24949|Ensembl:ENSG00000164164,4,4q31.21,OTU deubiquitinase 4,protein-coding
12369,54732,TMED9,GMP25|HSGP25L2G|p24a2|p24alpha2|p25,HGNC:HGNC:24878|Ensembl:ENSG00000184840,5,5q35.3,transmembrane p24 trafficking protein 9,protein-coding
12370,54733,SLC35F2,HSNOV1,HGNC:HGNC:23615|Ensembl:ENSG00000110660,11,11q22.3,solute carrier family 35 member F2,protein-coding
12371,54734,RAB39A,RAB39,HGNC:HGNC:16521|Ensembl:ENSG00000179331,11,11q22.3,"RAB39A, member RAS oncogene family",protein-coding
12372,54737,MPHOSPH8,HSMPP8|TWA3|mpp8,MIM:611626|HGNC:HGNC:29810|Ensembl:ENSG00000196199,13,13q12.11,M-phase phosphoprotein 8,protein-coding
12373,54738,FEV,HSRNAFEV|PET-1,MIM:607150|HGNC:HGNC:18562|Ensembl:ENSG00000163497,2,2q35,"FEV transcription factor, ETS family member",protein-coding
12374,54739,XAF1,BIRC4BP|HSXIAPAF1|XIAPAF1,MIM:606717|HGNC:HGNC:30932|Ensembl:ENSG00000132530,17,17p13.1,XIAP associated factor 1,protein-coding
12375,54741,LEPROT,LEPR|OB-RGRP|OBRGRP|VPS55,MIM:613461|HGNC:HGNC:29477|Ensembl:ENSG00000213625,1,1p31.3,leptin receptor overlapping transcript,protein-coding
12376,54742,LY6K,CT97|HSJ001348|URLC10|ly-6K,MIM:615093|HGNC:HGNC:24225|Ensembl:ENSG00000160886,8,8q24.3,lymphocyte antigen 6 family member K,protein-coding
12378,54749,EPDR1,EPDR|MERP-1|MERP1|UCC1,HGNC:HGNC:17572|Ensembl:ENSG00000086289,7,7p14.1,ependymin related 1,protein-coding
12379,54751,FBLIM1,CAL|FBLP-1|FBLP1,MIM:607747|HGNC:HGNC:24686|Ensembl:ENSG00000162458,1,1p36.21,filamin binding LIM protein 1,protein-coding
12380,54752,FNDC8,-,HGNC:HGNC:25286|Ensembl:ENSG00000073598,17,17q12,fibronectin type III domain containing 8,protein-coding
12382,54754,NUTM2F,FAM22F|NUTMF,HGNC:HGNC:23450|Ensembl:ENSG00000130950,9,9q22.32,NUT family member 2F,protein-coding
12383,54756,IL17RD,HH18|IL-17RD|IL17RLM|SEF,MIM:606807|HGNC:HGNC:17616|Ensembl:ENSG00000144730,3,3p14.3,interleukin 17 receptor D,protein-coding
12384,54757,FAM20A,AI1G|AIGFS|FP2747,MIM:611062|HGNC:HGNC:23015|Ensembl:ENSG00000108950,17,17q24.2,FAM20A golgi associated secretory pathway pseudokinase,protein-coding
12385,54758,KLHDC4,-,HGNC:HGNC:25272|Ensembl:ENSG00000104731,16,16q24.2,kelch domain containing 4,protein-coding
12386,54760,PCSK4,PC4|SPC5,MIM:600487|HGNC:HGNC:8746|Ensembl:ENSG00000115257,19,19p13.3,proprotein convertase subtilisin/kexin type 4,protein-coding
12387,54762,GRAMD1C,-,HGNC:HGNC:25252|Ensembl:ENSG00000178075,3,3q13.31,GRAM domain containing 1C,protein-coding
12388,54763,ROPN1,CT91|ODF6|RHPNAP1|ROPN1A|ropporin,MIM:611757|HGNC:HGNC:17692|Ensembl:ENSG00000065371,3,3q21.1,rhophilin associated tail protein 1,protein-coding
12389,54764,ZRANB1,TRABID,MIM:611749|HGNC:HGNC:18224|Ensembl:ENSG00000019995,10,10q26.13,zinc finger RANBP2-type containing 1,protein-coding
12390,54765,TRIM44,AN3|DIPB|HSA249128|MC7,MIM:612298|HGNC:HGNC:19016|Ensembl:ENSG00000166326,11,11p13,tripartite motif containing 44,protein-coding
12391,54766,BTG4,APRO3|PC3B,MIM:605673|HGNC:HGNC:13862|Ensembl:ENSG00000137707,11,11q23.1,BTG anti-proliferation factor 4,protein-coding
12392,54768,HYDIN,CILD5|HYDIN1|HYDIN2|PPP1R31,MIM:610812|HGNC:HGNC:19368|Ensembl:ENSG00000157423,16,16q22.2,HYDIN axonemal central pair apparatus protein,protein-coding
12393,54769,DIRAS2,Di-Ras2,MIM:607863|HGNC:HGNC:19323|Ensembl:ENSG00000165023,9,9q22.2,DIRAS family GTPase 2,protein-coding
12394,54776,PPP1R12C,AAVS1|LENG3|MBS85|p84|p85,MIM:613245|HGNC:HGNC:14947|Ensembl:ENSG00000125503,19,19q13.42,protein phosphatase 1 regulatory subunit 12C,protein-coding
12395,54777,CFAP46,C10orf123|C10orf124|C10orf92|C10orf93|TTC40|bA288G11.4|bA288G11.5|bB137A17.2|bB137A17.3,HGNC:HGNC:25247|Ensembl:ENSG00000171811,10,10q26.3,cilia and flagella associated protein 46,protein-coding
12396,54778,RNF111,ARK|hRNF111,MIM:605840|HGNC:HGNC:17384|Ensembl:ENSG00000157450,15,15q22.1-q22.2,ring finger protein 111,protein-coding
12397,54780,NSMCE4A,C10orf86|NS4EA|NSE4A,MIM:612987|HGNC:HGNC:25935|Ensembl:ENSG00000107672,10,10q26.13,"NSE4 homolog A, SMC5-SMC6 complex component",protein-coding
12398,54784,ALKBH4,ABH4,MIM:613302|HGNC:HGNC:21900|Ensembl:ENSG00000160993,7,7q22.1,"alkB homolog 4, lysine demethylase",protein-coding
12399,54785,BORCS6,C17orf59|PRO2472,MIM:616599|HGNC:HGNC:25939|Ensembl:ENSG00000196544,17,17p13.1,BLOC-1 related complex subunit 6,protein-coding
12400,54788,DNAJB12,DJ10,MIM:608376|HGNC:HGNC:14891|Ensembl:ENSG00000148719,10,10q22.1,DnaJ heat shock protein family (Hsp40) member B12,protein-coding
12401,54790,TET2,KIAA1546|MDS,MIM:612839|HGNC:HGNC:25941|Ensembl:ENSG00000168769,4,4q24,tet methylcytosine dioxygenase 2,protein-coding
12402,54793,KCTD9,BTBD27,MIM:617265|HGNC:HGNC:22401|Ensembl:ENSG00000104756,8,8p21.2,potassium channel tetramerization domain containing 9,protein-coding
12403,54795,TRPM4,LTrpC4|PFHB1B|TRPM4B|hTRPM4,MIM:606936|HGNC:HGNC:17993|Ensembl:ENSG00000130529,19,19q13.33,transient receptor potential cation channel subfamily M member 4,protein-coding
12404,54796,BNC2,BSN2,MIM:608669|HGNC:HGNC:30988|Ensembl:ENSG00000173068,9,9p22.3-p22.2,basonuclin 2,protein-coding
12405,54797,MED18,SRB5|p28b,MIM:612384|HGNC:HGNC:25944|Ensembl:ENSG00000130772,1,1p35.3,mediator complex subunit 18,protein-coding
12406,54798,DCHS2,CDH27|CDHJ|CDHR7|PCDH23|PCDHJ,MIM:612486|HGNC:HGNC:23111|Ensembl:ENSG00000197410,4,4q31.3,dachsous cadherin-related 2,protein-coding
12407,54799,MBTD1,SA49P01,HGNC:HGNC:19866|Ensembl:ENSG00000011258,17,17q21.33,mbt domain containing 1,protein-coding
12408,54800,KLHL24,DRE1|EBSSH|KRIP6,MIM:611295|HGNC:HGNC:25947|Ensembl:ENSG00000114796,3,3q27.1,kelch like family member 24,protein-coding
12409,54801,HAUS6,Dgt6|FAM29A,MIM:613433|HGNC:HGNC:25948|Ensembl:ENSG00000147874,9,9p22.1,HAUS augmin like complex subunit 6,protein-coding
12410,54802,TRIT1,COXPD35|GRO1|IPPT|IPT|IPTase|MOD5|hGRO1,MIM:617840|HGNC:HGNC:20286|Ensembl:ENSG00000043514,1,1p34.2,tRNA isopentenyltransferase 1,protein-coding
12411,54805,CNNM2,ACDP2|HOMG6|HOMGSMR,MIM:607803|HGNC:HGNC:103|Ensembl:ENSG00000148842,10,10q24.32,cyclin and CBS domain divalent metal cation transport mediator 2,protein-coding
12412,54806,AHI1,AHI-1|JBTS3|ORF1|dJ71N10.1,MIM:608894|HGNC:HGNC:21575|Ensembl:ENSG00000135541,6,6q23.3,Abelson helper integration site 1,protein-coding
12413,54807,ZNF586,-,HGNC:HGNC:25949|Ensembl:ENSG00000083828,19,19q13.43,zinc finger protein 586,protein-coding
12414,54808,DYM,DMC|SMC,MIM:607461|HGNC:HGNC:21317|Ensembl:ENSG00000141627,18,18q21.1,dymeclin,protein-coding
12415,54809,SAMD9,C7orf5|DRIF1|MIRAGE|NFTC|OEF1|OEF2,MIM:610456|HGNC:HGNC:1348|Ensembl:ENSG00000205413,7,7q21.2,sterile alpha motif domain containing 9,protein-coding
12416,54810,GIPC2,SEMCAP-2|SEMCAP2,HGNC:HGNC:18177|Ensembl:ENSG00000137960,1,1p31.1,GIPC PDZ domain containing family member 2,protein-coding
12417,54811,ZNF562,-,HGNC:HGNC:25950|Ensembl:ENSG00000171466,19,19p13.2,zinc finger protein 562,protein-coding
12418,54812,AFTPH,Nbla10388,HGNC:HGNC:25951|Ensembl:ENSG00000119844,2,2p14,aftiphilin,protein-coding
12419,54813,KLHL28,BTBD5,HGNC:HGNC:19741|Ensembl:ENSG00000179454,14,14q21.2,kelch like family member 28,protein-coding
12420,54814,QPCTL,gQC,HGNC:HGNC:25952|Ensembl:ENSG00000011478,19,19q13.32,glutaminyl-peptide cyclotransferase like,protein-coding
12421,54815,GATAD2A,p66alpha,MIM:614997|HGNC:HGNC:29989|Ensembl:ENSG00000167491,19,19p13.11,GATA zinc finger domain containing 2A,protein-coding
12422,54816,ZNF280D,SUHW4|ZNF634,HGNC:HGNC:25953|Ensembl:ENSG00000137871|Ensembl:ENSG00000285253,15,15q21.3,zinc finger protein 280D,protein-coding
12423,54819,ZCCHC10,-,HGNC:HGNC:25954|Ensembl:ENSG00000155329,5,5q31.1,zinc finger CCHC-type containing 10,protein-coding
